division_name,ayear,grade,total_count,pass_count,pass_rate,pass_proficient_count,pass_proficient_rate,pass_advanced_count,pass_advanced_rate,min_grade,years_from_start,cohort,race,average,black,division_use
Albemarle County,2006,3,833,732,87.88,343,41.18,389,46.7,3,0,2005,All,87.88,65.88,albemarle_county
Albemarle County,2007,4,857,782,91.25,276,32.21,506,59.04,3,1,2005,All,91.25,81.25,albemarle_county
Albemarle County,2008,5,824,762,92.48,340,41.26,422,51.21,3,2,2005,All,92.48,84.85,albemarle_county
Albemarle County,2009,6,858,766,89.28,368,42.89,398,46.39,3,3,2005,All,89.28,72.22,albemarle_county
Albemarle County,2010,7,890,811,91.12,385,43.26,426,47.87,3,4,2005,All,91.12,77.67,albemarle_county
Albemarle County,2011,8,937,881,94.02,359,38.31,522,55.71,3,5,2005,All,94.02,82.47,albemarle_county
Albemarle County,2006,3,85,56,65.88,42,49.41,14,16.47,3,0,2005,Black,87.88,65.88,albemarle_county
Albemarle County,2007,4,96,78,81.25,46,47.92,32,33.33,3,1,2005,Black,91.25,81.25,albemarle_county
Albemarle County,2008,5,99,84,84.85,61,61.62,23,23.23,3,2,2005,Black,92.48,84.85,albemarle_county
Albemarle County,2009,6,108,78,72.22,63,58.33,15,13.89,3,3,2005,Black,89.28,72.22,albemarle_county
Albemarle County,2010,7,103,80,77.67,62,60.19,18,17.48,3,4,2005,Black,91.12,77.67,albemarle_county
Albemarle County,2011,8,97,80,82.47,54,55.67,26,26.8,3,5,2005,Black,94.02,82.47,albemarle_county
Albemarle County,2006,3,667,603,90.4,261,39.13,342,51.27,3,0,2005,White,87.88,65.88,albemarle_county
Albemarle County,2007,4,665,621,93.38,202,30.38,419,63.01,3,1,2005,White,91.25,81.25,albemarle_county
Albemarle County,2008,5,633,596,94.15,234,36.97,362,57.19,3,2,2005,White,92.48,84.85,albemarle_county
Albemarle County,2009,6,652,605,92.79,264,40.49,341,52.3,3,3,2005,White,89.28,72.22,albemarle_county
Albemarle County,2010,7,685,639,93.28,274,40,365,53.28,3,4,2005,White,91.12,77.67,albemarle_county
Albemarle County,2011,8,670,644,96.12,228,34.03,416,62.09,3,5,2005,White,94.02,82.47,albemarle_county
Charlottesville City,2006,3,281,218,77.58,99,35.23,119,42.35,3,0,2005,All,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,271,229,84.5,114,42.07,115,42.44,3,1,2005,All,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,245,191,77.96,106,43.27,85,34.69,3,2,2005,All,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,235,198,84.26,112,47.66,86,36.6,3,3,2005,All,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,209,167,79.9,86,41.15,81,38.76,3,4,2005,All,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,237,187,78.9,104,43.88,83,35.02,3,5,2005,All,78.9,66.37,charlottesville_city
Charlottesville City,2006,3,128,84,65.63,53,41.41,31,24.22,3,0,2005,Black,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,120,92,76.67,66,55,26,21.67,3,1,2005,Black,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,104,66,63.46,55,52.88,11,10.58,3,2,2005,Black,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,99,72,72.73,56,56.57,16,16.16,3,3,2005,Black,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,98,64,65.31,50,51.02,14,14.29,3,4,2005,Black,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,113,75,66.37,63,55.75,12,10.62,3,5,2005,Black,78.9,66.37,charlottesville_city
Charlottesville City,2006,3,129,112,86.82,33,25.58,79,61.24,3,0,2005,White,77.58,65.63,charlottesville_city
Charlottesville City,2007,4,122,112,91.8,33,27.05,79,64.75,3,1,2005,White,84.5,76.67,charlottesville_city
Charlottesville City,2008,5,114,105,92.11,35,30.7,70,61.4,3,2,2005,White,77.96,63.46,charlottesville_city
Charlottesville City,2009,6,110,105,95.45,40,36.36,65,59.09,3,3,2005,White,84.26,72.73,charlottesville_city
Charlottesville City,2010,7,93,89,95.7,26,27.96,63,67.74,3,4,2005,White,79.9,65.31,charlottesville_city
Charlottesville City,2011,8,101,92,91.09,25,24.75,67,66.34,3,5,2005,White,78.9,66.37,charlottesville_city
Fluvanna County,2006,3,277,214,77.26,121,43.68,93,33.57,3,0,2005,All,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,286,231,80.77,115,40.21,116,40.56,3,1,2005,All,80.77,62,fluvanna_county
Fluvanna County,2008,5,275,236,85.82,133,48.36,103,37.45,3,2,2005,All,85.82,75,fluvanna_county
Fluvanna County,2009,6,284,253,89.08,151,53.17,102,35.92,3,3,2005,All,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,288,255,88.54,129,44.79,126,43.75,3,4,2005,All,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,314,286,91.08,184,58.6,102,32.48,3,5,2005,All,91.08,93.02,fluvanna_county
Fluvanna County,2006,3,43,29,67.44,18,41.86,11,25.58,3,0,2005,Black,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,50,31,62,19,38,12,24,3,1,2005,Black,80.77,62,fluvanna_county
Fluvanna County,2008,5,44,33,75,26,59.09,7,15.91,3,2,2005,Black,85.82,75,fluvanna_county
Fluvanna County,2009,6,48,40,83.33,32,66.67,8,16.67,3,3,2005,Black,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,49,43,87.76,31,63.27,12,24.49,3,4,2005,Black,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,43,40,93.02,34,79.07,6,13.95,3,5,2005,Black,91.08,93.02,fluvanna_county
Fluvanna County,2006,3,229,180,78.6,99,43.23,81,35.37,3,0,2005,White,77.26,67.44,fluvanna_county
Fluvanna County,2007,4,223,191,85.65,89,39.91,102,45.74,3,1,2005,White,80.77,62,fluvanna_county
Fluvanna County,2008,5,219,194,88.58,102,46.58,92,42.01,3,2,2005,White,85.82,75,fluvanna_county
Fluvanna County,2009,6,220,200,90.91,110,50,90,40.91,3,3,2005,White,89.08,83.33,fluvanna_county
Fluvanna County,2010,7,225,201,89.33,94,41.78,107,47.56,3,4,2005,White,88.54,87.76,fluvanna_county
Fluvanna County,2011,8,234,213,91.03,128,54.7,85,36.32,3,5,2005,White,91.08,93.02,fluvanna_county
Greene County,2006,3,212,168,79.25,100,47.17,68,32.08,3,0,2005,All,79.25,68.42,greene_county
Greene County,2007,4,210,178,84.76,102,48.57,76,36.19,3,1,2005,All,84.76,70.59,greene_county
