School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2005-2006,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,305,94.43
2005-2006,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,356,79.49
2005-2006,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,362,70.44
2005-2006,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,350,74.29
2005-2006,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,122,86.89
2005-2006,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,141,83.69
2005-2006,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,133,93.98
2005-2006,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,150,87.33
2005-2006,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,123,91.06
2005-2006,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,138,80.43
2006-2007,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,894,84.45
2006-2007,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,857,91.25
2006-2007,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,843,93.24
2006-2007,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,861,89.66
2006-2007,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,911,88.69
2006-2007,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,937,82.5
2006-2007,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,258,79.84
2006-2007,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,271,84.5
2006-2007,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,245,82.04
2006-2007,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,242,84.71
2006-2007,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,271,71.22
2006-2007,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,269,56.51
2006-2007,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,282,78.01
2006-2007,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,286,80.77
2006-2007,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,243,89.3
2006-2007,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,280,90.36
2006-2007,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,267,88.01
