School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2014-2015,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,315,82.86
2014-2015,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,299,77.93
2014-2015,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,254,67.72
2014-2015,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,245,75.51
2014-2015,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,259,76.06
2014-2015,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,227,74.01
2014-2015,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,266,79.32
2014-2015,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,289,75.43
2014-2015,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,293,77.13
2014-2015,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,264,84.47
2014-2015,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,267,82.4
2014-2015,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,256,71.48
2014-2015,39,Greene County,English:Reading,Grade 3,SOL,English Reading,236,63.56
2014-2015,39,Greene County,English:Reading,Grade 4,SOL,English Reading,264,62.12
2014-2015,39,Greene County,English:Reading,Grade 5,SOL,English Reading,244,72.54
2014-2015,39,Greene County,English:Reading,Grade 6,SOL,English Reading,237,69.2
2014-2015,39,Greene County,English:Reading,Grade 7,SOL,English Reading,238,75.63
2014-2015,39,Greene County,English:Reading,Grade 8,SOL,English Reading,235,71.91
2014-2015,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,357,69.19
2014-2015,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,352,73.58
2014-2015,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,362,77.62
2014-2015,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,335,74.93
2014-2015,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,380,81.32
2014-2015,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,348,78.74
2014-2015,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,130,73.85
2014-2015,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,130,63.85
2014-2015,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,151,72.85
2014-2015,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,150,80
2014-2015,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,135,77.04
2014-2015,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,153,69.93
2015-2016,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,"1,013",75.72
2015-2016,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,906,76.38
2015-2016,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,984,78.66
2015-2016,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,962,75.78
2015-2016,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,939,83.81
2015-2016,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,957,76.07
2015-2016,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,339,70.21
2015-2016,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,322,78.88
2015-2016,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,268,67.16
2015-2016,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,236,70.76
2015-2016,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,243,81.48
2015-2016,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,243,67.08
2015-2016,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,265,76.23
2015-2016,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,264,81.06
2015-2016,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,285,76.49
2015-2016,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,294,76.19
2015-2016,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,260,86.54
2015-2016,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,264,76.89
2015-2016,39,Greene County,English:Reading,Grade 3,SOL,English Reading,230,68.7
2015-2016,39,Greene County,English:Reading,Grade 4,SOL,English Reading,237,70.04
2015-2016,39,Greene County,English:Reading,Grade 5,SOL,English Reading,256,73.83
2015-2016,39,Greene County,English:Reading,Grade 6,SOL,English Reading,245,72.24
2015-2016,39,Greene County,English:Reading,Grade 7,SOL,English Reading,235,81.28
2015-2016,39,Greene County,English:Reading,Grade 8,SOL,English Reading,243,68.72
2015-2016,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,350,77.71
2015-2016,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,360,75.28
2015-2016,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,363,79.89
2015-2016,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,359,78.27
2015-2016,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,342,78.36
2015-2016,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,378,76.19
2015-2016,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,140,65.71
2015-2016,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,132,75.76
2015-2016,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,134,70.15
2015-2016,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,144,83.33
2015-2016,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,147,84.35
2015-2016,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,142,71.13
2016-2017,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,"1,011",70.82
2016-2017,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,"1,052",78.8
2016-2017,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,896,81.25
2016-2017,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,973,77.6
2016-2017,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,964,82.47
2016-2017,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,933,77.92
2016-2017,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,382,72.25
2016-2017,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,330,75.45
2016-2017,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,282,70.92
2016-2017,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,252,73.02
2016-2017,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,234,74.36
2016-2017,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,233,70.39
2016-2017,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,262,75.57
2016-2017,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,260,75
2016-2017,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,282,78.37
2016-2017,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,281,77.22
2016-2017,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,310,80.32
2016-2017,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,281,76.51
2016-2017,39,Greene County,English:Reading,Grade 3,SOL,English Reading,238,65.97
2016-2017,39,Greene County,English:Reading,Grade 4,SOL,English Reading,234,74.79
2016-2017,39,Greene County,English:Reading,Grade 5,SOL,English Reading,237,78.48
2016-2017,39,Greene County,English:Reading,Grade 6,SOL,English Reading,253,66.4
2016-2017,39,Greene County,English:Reading,Grade 7,SOL,English Reading,238,80.25
2016-2017,39,Greene County,English:Reading,Grade 8,SOL,English Reading,234,78.21
2016-2017,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,371,67.39
2016-2017,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,345,80
2016-2017,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,356,77.25
2016-2017,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,348,74.43
2016-2017,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,356,81.18
2016-2017,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,343,74.64
2016-2017,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,131,59.54
2016-2017,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,142,65.49
2016-2017,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,133,82.71
2016-2017,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,130,70
2016-2017,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,153,80.39
2016-2017,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,154,73.38
2017-2018,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,"1,098",70.49
2017-2018,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,"1,051",74.79
2017-2018,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,"1,056",79.17
2017-2018,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,936,81.62
2017-2018,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,"1,002",81.44
2017-2018,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,981,77.37
2017-2018,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,363,62.81
2017-2018,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,401,72.32
2017-2018,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,310,61.94
2017-2018,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,270,75.19
2017-2018,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,259,74.13
2017-2018,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,247,63.56
2017-2018,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,252,77.78
2017-2018,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,275,80
2017-2018,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,264,74.62
2017-2018,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,291,76.29
2017-2018,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,287,79.44
2017-2018,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,309,77.99
2017-2018,39,Greene County,English:Reading,Grade 3,SOL,English Reading,250,65.2
2017-2018,39,Greene County,English:Reading,Grade 4,SOL,English Reading,233,68.24
2017-2018,39,Greene County,English:Reading,Grade 5,SOL,English Reading,240,71.25
2017-2018,39,Greene County,English:Reading,Grade 6,SOL,English Reading,238,71.01
2017-2018,39,Greene County,English:Reading,Grade 7,SOL,English Reading,243,72.84
2017-2018,39,Greene County,English:Reading,Grade 8,SOL,English Reading,245,73.88
2017-2018,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,375,68.53
2017-2018,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,388,73.97
2017-2018,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,363,79.89
2017-2018,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,366,76.23
2017-2018,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,369,77.51
2017-2018,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,360,75
2017-2018,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,131,66.41
2017-2018,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,131,65.65
2017-2018,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,147,63.95
2017-2018,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,137,77.37
2017-2018,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,132,68.18
2017-2018,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,153,75.16
2018-2019,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,"1,004",69.82
2018-2019,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,"1,117",75.47
2018-2019,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,"1,040",78.27
2018-2019,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,"1,072",78.26
2018-2019,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,963,81.1
2018-2019,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,"1,012",79.15
2018-2019,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,378,70.37
2018-2019,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,351,65.24
2018-2019,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,350,57.14
2018-2019,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,282,68.44
2018-2019,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,253,73.12
2018-2019,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,257,66.15
2018-2019,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,225,64.89
2018-2019,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,258,75.97
2018-2019,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,279,73.12
2018-2019,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,277,69.31
2018-2019,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,291,77.32
2018-2019,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,294,73.13
2018-2019,39,Greene County,English:Reading,Grade 3,SOL,English Reading,212,61.32
2018-2019,39,Greene County,English:Reading,Grade 4,SOL,English Reading,245,67.35
2018-2019,39,Greene County,English:Reading,Grade 5,SOL,English Reading,240,73.33
2018-2019,39,Greene County,English:Reading,Grade 6,SOL,English Reading,245,65.71
2018-2019,39,Greene County,English:Reading,Grade 7,SOL,English Reading,236,69.07
2018-2019,39,Greene County,English:Reading,Grade 8,SOL,English Reading,235,68.09
2018-2019,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,360,71.39
2018-2019,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,383,77.02
2018-2019,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,401,76.06
2018-2019,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,376,80.59
2018-2019,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,373,70.78
2018-2019,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,370,72.16
2018-2019,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,113,58.41
2018-2019,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,122,76.23
2018-2019,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,125,72.8
2018-2019,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,141,75.18
2018-2019,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,132,78.03
2018-2019,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,124,72.58
