"School Year","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2009-2010","English:Reading","Grade 4","SOL","English Reading","41,888","35,333","10,386","77,221","87,607","47.81","40.33","11.86","88.14","490"
"2009-2010","English:Reading","Grade 5","SOL","English Reading","31,297","46,522","8,140","77,819","85,959","36.41","54.12","9.47","90.53","483"
"2009-2010","English:Reading","Grade 6","SOL","English Reading","35,306","40,609","10,173","75,915","86,088","41.01","47.17","11.82","88.18","480"
"2009-2010","English:Reading","Grade 7","SOL","English Reading","36,381","39,128","9,189","75,509","84,698","42.95","46.20","10.85","89.15","486"
"2009-2010","English:Reading","Grade 8","SOL","English Reading","38,214","39,682","8,770","77,896","86,666","44.09","45.79","10.12","89.88","484"
"2010-2011","English:Reading","Grade 3","SOL","English Reading","35,981","37,991","15,187","73,972","89,159","40.36","42.61","17.03","82.97","474"
"2010-2011","English:Reading","Grade 4","SOL","English Reading","37,214","40,994","11,738","78,208","89,946","41.37","45.58","13.05","86.95","486"
"2010-2011","English:Reading","Grade 5","SOL","English Reading","35,688","44,870","9,730","80,558","90,288","39.53","49.70","10.78","89.22","479"
"2010-2011","English:Reading","Grade 6","SOL","English Reading","36,338","40,807","11,632","77,145","88,777","40.93","45.97","13.10","86.90","483"
"2010-2011","English:Reading","Grade 7","SOL","English Reading","34,737","44,079","9,964","78,816","88,780","39.13","49.65","11.22","88.78","483"
"2010-2011","English:Reading","Grade 8","SOL","English Reading","38,951","41,678","8,571","80,629","89,200","43.67","46.72","9.61","90.39","488"
"2011-2012","English:Reading","Grade 3","SOL","English Reading","33,306","43,330","13,009","76,636","89,645","37.15","48.34","14.51","85.49","475"
"2011-2012","English:Reading","Grade 4","SOL","English Reading","36,427","42,452","11,081","78,879","89,960","40.49","47.19","12.32","87.68","482"
"2011-2012","English:Reading","Grade 5","SOL","English Reading","31,878","49,079","9,629","80,957","90,586","35.19","54.18","10.63","89.37","477"
"2011-2012","English:Reading","Grade 6","SOL","English Reading","40,228","40,900","10,029","81,128","91,157","44.13","44.87","11.00","89.00","485"
"2011-2012","English:Reading","Grade 7","SOL","English Reading","35,902","42,993","10,786","78,895","89,681","40.03","47.94","12.03","87.97","480"
"2011-2012","English:Reading","Grade 8","SOL","English Reading","39,351","41,416","10,015","80,767","90,782","43.35","45.62","11.03","88.97","487"
"2012-2013","English:Reading","Grade 3","SOL","English Reading","16,111","49,533","25,447","65,644","91,091","17.69","54.38","27.94","72.06","434"
