School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2018-2019,School,32,Fluvanna County,300,Carysbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,146,224,65.18
2018-2019,School,32,Fluvanna County,260,Fluvanna County High,English:Reading,8,Grade 8,SOL,English Reading,214,293,73.04
2018-2019,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,146,225,64.89
2018-2019,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,215,294,73.13
2018-2019,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,66,105,62.86
2018-2019,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,64,107,59.81
2018-2019,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,160,233,68.67
2018-2019,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,130,212,61.32
2018-2019,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,160,235,68.09
2018-2019,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,68,93,73.12
2018-2019,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,266,365,72.88
2018-2019,School,54,Louisa County,80,Moss-Nuckols Elementary,English:Reading,3,Grade 3,SOL,English Reading,65,92,70.65
2018-2019,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,69,94,73.40
2018-2019,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,54,79,68.35
2018-2019,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,257,360,71.39
2018-2019,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,267,370,72.16
2018-2019,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,89,121,73.55
2018-2019,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,32,50,64.00
2018-2019,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,34,63,53.97
2018-2019,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,66,113,58.41
2018-2019,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,90,124,72.58
