year,group,Black,White,Diff,region
2006,Accomack County___2006,0.7583670624604363,0.9179323840790955,0.15956532161865922,0
2006,Albemarle County___2006,0.7612925124635318,0.935875888830226,0.1745833763666942,1
2006,Alexandria City___2006,0.7859266966544568,0.9457853047793656,0.15985860812490882,0
2006,Alleghany County___2006,0.8103154599702754,0.9186842410240248,0.10836878105374936,0
2006,Amelia County___2006,0.769638387316982,0.8803501686144237,0.11071178129744175,0
2006,Amherst County___2006,0.7684883383274255,0.8991903412220648,0.1307020028946393,0
2006,Appomattox County___2006,0.7412362984931508,0.9015642901482894,0.16032799165513867,0
2006,Arlington County___2006,0.7753501813246368,0.9662535442019564,0.19090336287731957,0
2006,Augusta County___2006,0.7741884633664059,0.8585169571615305,0.08432849379512464,0
2006,Bath County___2006,0.7404366822034211,0.8821109603264113,0.14167427812299027,0
2006,Bedford County___2006,0.68458978527235,0.8767676278205382,0.19217784254818815,0
2006,Bland County___2006,0.7298636739235269,0.8684919396179293,0.13862826569440234,0
2006,Botetourt County___2006,0.781373086460747,0.926286337082458,0.144913250621711,0
2006,Bristol City___2006,0.7330914306626222,0.8454942062498602,0.11240277558723799,0
2006,Brunswick County___2006,0.7436257818579615,0.8993542445470796,0.1557284626891181,0
2006,Buchanan County___2006,0.6952042924348231,0.8173096845250011,0.12210539209017801,0
2006,Buckingham County___2006,0.7533005573838859,0.8848301526235172,0.13152959523963126,0
2006,Buena Vista City___2006,0.7515159356508041,0.8953915988565365,0.14387566320573242,0
2006,Campbell County___2006,0.7531283758937225,0.8664171865329372,0.1132888106392147,0
2006,Caroline County___2006,0.7491726625019547,0.8647143539755924,0.11554169147363769,0
2006,Carroll County___2006,0.7133692686013006,0.8453828646038175,0.13201359600251694,0
2006,Charles City County___2006,0.7068375463907142,0.8396705368772595,0.1328329904865453,0
2006,Charlotte County___2006,0.8994598179622534,0.9546608790328688,0.0552010610706154,0
2006,Charlottesville City___2006,0.611372040548722,0.8827600101982375,0.2713879696495155,1
2006,Chesapeake City___2006,0.7847733921087202,0.9246299117559981,0.13985651964727785,0
2006,Chesterfield County___2006,0.8241984651323886,0.9326560792767569,0.10845761414436828,0
2006,Clarke County___2006,0.7456107322099232,0.8884383563034906,0.1428276240935673,0
2006,Colonial Beach___2006,0.7103573613466001,0.8409175452854795,0.13056018393887936,0
2006,Colonial Heights City___2006,0.7720798183186621,0.8877967616829504,0.11571694336428828,0
2006,Covington City___2006,0.7165314386102142,0.8420404199297052,0.12550898131949106,0
2006,Craig County___2006,0.717599244019648,0.8515261049124505,0.13392686089280248,0
2006,Culpeper County___2006,0.7294209346659547,0.8929326803015291,0.16351174563557436,0
2006,Cumberland County___2006,0.6832360308951911,0.870735734567764,0.18749970367257285,0
2006,Danville City___2006,0.771192987688269,0.9235244480615649,0.1523314603732958,0
2006,Dickenson County___2006,0.706290489273852,0.8347682284974403,0.1284777392235883,0
2006,Dinwiddie County___2006,0.8075652789739302,0.8977914086245853,0.09022612965065513,0
2006,Essex County___2006,0.678376341883302,0.8678561772042908,0.18947983532098878,0
2006,Fairfax County___2006,0.7831579013921796,0.9550366070662231,0.1718787056740435,0
2006,Falls Church City___2006,0.8011678114515002,0.9430401479120012,0.14187233646050101,0
2006,Fauquier County___2006,0.6937185189842058,0.8890887920928813,0.1953702731086755,0
2006,Floyd County___2006,0.7643542932985553,0.9095355770110379,0.14518128371248262,0
2006,Fluvanna County___2006,0.7290114478948797,0.8781061639819802,0.14909471608710045,1
2006,Franklin City___2006,0.6656865746919176,0.90508989710492,0.23940332241300244,0
2006,Franklin County___2006,0.8413922283139301,0.9374168353932033,0.09602460707927318,0
2006,Frederick County___2006,0.7870779998618912,0.8764094145214242,0.08933141465953298,0
